PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_SYSTEMATIC_NAME,SMILES,SAscore,RAscore,Combined_Score
15061178,"2-bromanyl-6-ethyl-7-methoxy-5-oxidanyl-naphthalene-1,4-dione",CCc1c(OC)cc2c(c1O)C(=O)C=C(Br)C2=O,2.631,0.977999985,0.800764655
15314641,"2,2-dimethyl-4-oxidanyl-3,4-dihydrothiochromene-5,8-dione",CC1(C)CC(O)C2=C(S1)C(=O)C=CC2=O,3.969,0.734000027,0.491861574
15361939,"9-chloranyl-6-fluoranyl-4-oxidanyl-benzo[g]isoquinoline-5,10-dione",O=C1c2c(O)cncc2C(=O)c2c(Cl)ccc(F)c21,2.594,0.82099998,0.675591761
15620928,"2,6-bis(hydroxymethyl)-1,5-bis(oxidanyl)anthracene-9,10-dione",O=C1c2ccc(CO)c(O)c2C(=O)c2ccc(CO)c(O)c21,2.538,0.882000029,0.731276024
16118876,"2-bromanyl-9-oxidanyl-anthracene-1,4-dione",O=C1C=C(Br)C(=O)c2c1cc1ccccc1c2O,2.366,0.967999995,0.821079107
17968950,"4-fluoranyl-3,6-di(propan-2-yl)cyclohexa-3,5-diene-1,2-dione",CC(C)C1=CC(F)=C(C(C)C)C(=O)C1=O,3.054,0.862999976,0.666044203
18943062,"2,5-bis(phenylmethyl)-3-sulfanyl-cyclohexa-2,5-diene-1,4-dione",O=C1C=C(Cc2ccccc2)C(=O)C(S)=C1Cc1ccccc1,2.519,0.677999973,0.563568644
19746844,"2,3,5-tris(oxidanyl)cyclohexa-2,5-diene-1,4-dione",O=C1C=C(O)C(=O)C(O)=C1O,2.943,0.808000028,0.6335618
19753591,"2-sulfanylcyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C(S)=C1,3.306,0.874000013,0.650061787
20036534,"3-methyl-3,4-dihydro-1,2-benzodioxine-5,8-dione",CC1CC2=C(OO1)C(=O)C=CC2=O,4.076,0.899999976,0.592399984
21261927,"2-[1,1-bis(oxidanyl)propylsulfanyl]cyclohexa-2,5-diene-1,4-dione",CCC(O)(O)SC1=CC(=O)C=CC1=O,3.529,0.866999984,0.623372988
21261928,"2-(1-hydroxyethylsulfanyl)-6-methyl-cyclohexa-2,5-diene-1,4-dione",CC1=CC(=O)C=C(SC(C)O)C1=O,3.738,0.911000013,0.633853565
21583369,"1,4-bis(oxidanylidene)naphthalene-2-carboxamide",NC(=O)C1=CC(=O)c2ccccc2C1=O,2.269,0.972000003,0.834948002
21650780,"2-[3,3-bis(oxidanyl)propylsulfanyl]cyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C(SCCC(O)O)=C1,3.166,0.684000015,0.519384012
22494928,"1,4-bis(oxidanyl)-1,2-dihydroanthracene-9,10-dione",O=C1C2=C(C(=O)c3ccccc31)C(O)CC=C2O,3.136,0.704999983,0.537679987
22959741,"3-propan-2-ylcyclohexa-3,5-diene-1,2-dione",CC(C)C1=CC=CC(=O)C1=O,2.901,0.967000008,0.762748117
23341318,"3,6-bis(oxidanylidene)cyclohexa-1,4-diene-1-carboxamide",NC(=O)C1=CC(=O)C=CC1=O,2.614,0.924000025,0.75829602
25129048,"3,7-bis(chloranyl)-6-ethyl-4,5,8-tris(oxidanyl)naphthalene-1,2-dione",CCc1c(O)c2c(c(O)c1Cl)C(=O)C(=O)C(Cl)=C2O,3.034,0.510999978,0.395513983
