CID,HOMO,HOMO-1,delta_orbs
10402346,-0.10016,-0.20184,0.1016799999999999
10402352,-0.09153,-0.18748,0.09595
10402401,-0.08694,-0.18686,0.09992
10402511,-0.08935,-0.19853,0.10918
10402517,-0.08751,-0.1868,0.0992899999999999
10402654,-0.09711,-0.17005,0.07294
10402762,-0.08598,-0.18174,0.09576
10403278,-0.1196,-0.2079,0.0883
10403347,-0.09636,-0.19296,0.0965999999999999
10403457,-0.08725,-0.18113,0.09388
10403458,-0.0905,-0.1846,0.0940999999999999
10403632,-0.09215,-0.19783,0.10568
10403757,-0.09444,-0.20034,0.1059
10404209,-0.09952,-0.18668,0.08716
10404211,-0.09465,-0.18373,0.08908
10404364,-0.09975,-0.18907,0.0893199999999999
10404609,-0.1197,-0.20556,0.0858599999999999
10404797,-0.10378,-0.18436,0.08058
10404856,-0.08764,-0.19795,0.1103099999999999
10405104,-0.08474,-0.17639,0.09165
10405225,-0.09881,-0.18872,0.08991
10405331,-0.08631,-0.1807,0.09439
1041635,-0.09421,-0.20451,0.1103
10419488,-0.08936,-0.19387,0.1045099999999999
10421274,-0.08973,-0.18083,0.0910999999999999
10421287,-0.09013,-0.19411,0.10398
10421569,-0.10107,-0.20082,0.09975
10421598,-0.11078,-0.18953,0.07875
10421604,-0.10351,-0.20277,0.09926
10421799,-0.09321,-0.19009,0.09688
10421912,-0.10073,-0.18777,0.0870399999999999
10422304,-0.09172,-0.18517,0.09345
10422305,-0.09171,-0.18517,0.09346
10422306,-0.08608,-0.19412,0.1080399999999999
10422448,-0.09073,-0.18376,0.09303
10422712,-0.08656,-0.18215,0.09559
10422753,-0.11177,-0.20428,0.09251
10423018,-0.09502,-0.20613,0.11111
10423024,-0.08956,-0.18221,0.09265
10423147,-0.09674,-0.1964,0.0996599999999999
10423193,-0.09087,-0.18558,0.0947099999999999
10423232,-0.10254,-0.20701,0.10447
10423303,-0.09776,-0.18189,0.08413
10423422,-0.09162,-0.17439,0.08277
10423556,-0.09433,-0.19721,0.10288
10423572,-0.11017,-0.19799,0.08782
10423573,-0.10728,-0.19242,0.08514
10423613,-0.11208,-0.18961,0.07753
10423664,-0.09077,-0.18281,0.09204
10423665,-0.09025,-0.19168,0.1014299999999999
10423821,-0.10002,-0.20021,0.10019
10423934,-0.10334,-0.21052,0.10718
10423984,-0.09467,-0.18582,0.09115
10424185,-0.11109,-0.19366,0.08257
10424299,-0.15681,-0.21724,0.0604299999999999
10424422,-0.08915,-0.17701,0.08786
10424647,-0.05153,-0.21794,0.16641
10424860,-0.14253,-0.19525,0.05272
10424973,-0.1006,-0.20451,0.10391
10425242,-0.11412,-0.18269,0.0685699999999999
10425377,-0.08861,-0.18089,0.09228
10425490,-0.06494,-0.19622,0.13128
10425559,-0.10919,-0.18029,0.0711
10425624,-0.12546,-0.21462,0.08916
10425634,-0.09611,-0.18152,0.0854099999999999
10425994,-0.08906,-0.19304,0.1039799999999999
10426268,-0.08233,-0.18722,0.10489
10426391,-0.14734,-0.18485,0.0375099999999999
10426621,-0.09251,-0.18673,0.09422
10426755,-0.09318,-0.20095,0.1077699999999999
10426995,-0.10713,-0.19991,0.09278
10427033,-0.11825,-0.19124,0.07299
10427155,-0.11048,-0.20296,0.09248
10427285,-0.09406,-0.19384,0.09978
10427286,-0.09392,-0.19372,0.0998
10427474,-0.08536,-0.17617,0.0908099999999999
10427592,-0.09016,-0.18459,0.09443
10427697,-0.0822,-0.1873,0.1051
10427702,-0.06358,-0.19212,0.12854
10427828,-0.06941,-0.18814,0.11873
10427857,-0.08679,-0.19035,0.1035599999999999
10442255,-0.08806,-0.18234,0.09428
10443122,-0.13824,-0.22266,0.08442
10443215,-0.09221,-0.20382,0.11161
10443448,-0.08393,-0.17861,0.0946799999999999
10443649,-0.08913,-0.18763,0.0984999999999999
10443678,-0.1054,-0.18336,0.07796
10444193,-0.09131,-0.17586,0.0845499999999999
10444314,-0.10018,-0.18204,0.08186
10444415,-0.08593,-0.18441,0.0984799999999999
10444599,-0.08908,-0.18289,0.0938099999999999
10444788,-0.09523,-0.18464,0.08941
10445016,-0.08849,-0.20636,0.1178699999999999
10445061,-0.0948,-0.19721,0.10241
10445062,-0.09179,-0.1922,0.10041
10445066,-0.08998,-0.18901,0.09903
10445118,-0.10016,-0.2002,0.1000399999999999
10445129,-0.09664,-0.18214,0.0854999999999999
10445278,-0.09712,-0.19962,0.1025
